,id,album,artist,explicit,popularity
65,6nxQdXa1uAL0rY72wPZu89,DARKNESS AND LIGHT,John Legend,False,67
66,6cAKeFFYW2aClZSUyvqAEW,Isaiah,Isaiah Firebrace,False,65
67,6F609ICg9Spjrw1epsAnpa,Views,Drake,True,0
68,7FCfMXYTIiQ9b4hDYs4Iol,Dua Lipa (Deluxe),Dua Lipa,False,62
69,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),"Major Lazer, Justin Bieber, MØ",False,1
70,61VEcQZQZUF4o7QgXsOFjB,Until the End (feat. Raphaella),"Henri PFR, Raphaella",False,40
71,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,False,78
72,5J59VOgvclrhLDYUoH5OaW,Goud,Bazart,False,0
73,7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,Sam Hunt,False,74
74,1Slwb6dOYkBlWal1PGtnNg,x (Wembley Edition),Ed Sheeran,False,67
75,4Q4jmPHwu0wrJvqrld0FQ6,So Good,Zara Larsson,False,60
76,1Bqxj0aH5KewYHKUg1IdrF,When It's Dark Out,"G-Eazy, Marc E. Bassy",True,65
77,3UjJP4ludb74a29P5EHEIo,EVOLution,Sabrina Carpenter,False,0
78,0QsvXIfqM0zZoerQfsI9lm,The Chainsmokers- Japan Special Edition,"The Chainsmokers, Daya",False,43
79,6fujklziTHa8uoM5OQSfIo,SremmLife 2 (Deluxe),"Rae Sremmurd, Gucci Mane",True,77
80,6fxVffaTuwjgEk5h9QyRjy,x (Wembley Edition),Ed Sheeran,False,66
81,1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,False,76
82,1sYSP7gKa5kdKIfhANfori,Hell's Kitchen Angel,MAX,False,68
83,1sl5tSzfK1JrcQIcA8rYDy,I Miss You,"Grey, Bahari",False,0
84,1qOLh0tI7trd1zdDKxYZTe,HAIZ,"Hailee Steinfeld, Grey, Zedd",True,0
85,6y2Kaz9QI01XBKJ8mTb7Pf,Human (Deluxe),Rag'n'Bone Man,False,69
86,2BrzlUj1u1CtvaJDGIKpsP,Make Me (Cry),"Noah Cyrus, Labrinth",False,68
87,0JiVRyTJcJnmlwCZ854K4p,Alone,Alan Walker,False,65
88,1a5Yu5L18qNxVhXx38njON,Hear Me Now,"Alok, Bruno Martini, Zeeba",False,52
89,6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,False,82
90,6G0WvujZuBfEcV3qnWYjTa,I'll Catch You,"Angemi, Becko",False,0
91,0y1QJc3SJVPKJ1OvFmFqe6,A/B,KALEO,False,79
92,0SGkqnVQo9KPytSri1H6cF,I Decided.,Big Sean,True,74
